resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,6,2,0,0,0,13604638,1,1,2023,2,22,4,0.5,1.5
1,3,2,0,0,1,17101262,1,1,2023,10,22,1,0.0,1.0
1,1,2,0,0,0,8894288,1,1,2022,3,13,1,0.0,1.0
1,2,2,0,0,0,12713568,1,1,2023,1,4,4,0.0,1.0
1,1,2,0,0,0,10170727,1,1,2022,8,22,2,0.0,1.0
1,2,2,0,0,0,9557540,1,1,2022,8,25,5,0.0,1.0
1,3,2,0,0,0,10300912,1,1,2022,6,26,1,0.0,1.0
1,3,3,0,0,1,14095207,1,1,2023,5,15,2,0.0,1.0
1,3,2,0,0,1,12619971,1,1,2022,11,21,2,0.0,1.0
1,3,3,1,0,1,18686011,1,1,2023,12,3,1,0.0,1.0
1,3,2,0,0,0,18494930,1,1,2023,11,11,7,0.0,1.0
1,4,2,0,0,1,18141920,1,1,2023,10,30,2,0.5,1.5
1,2,2,0,0,0,18783819,1,1,2023,12,10,1,0.0,1.0
1,4,2,0,0,1,9537285,1,1,2022,9,14,4,0.5,1.5
1,2,2,0,0,0,8541424,1,1,2022,2,15,3,0.0,1.0
1,2,4,0,0,1,16696055,1,1,2023,8,6,1,0.0,1.0
1,1,1,0,0,0,16829342,1,1,2023,8,29,3,0.0,1.0
1,1,1,0,0,0,12589667,1,1,2022,11,15,3,0.0,1.0
1,2,1,0,0,1,13781022,1,1,2023,5,22,2,0.0,1.0
1,14,2,0,0,0,13300794,1,2,2023,7,10,2,1.5,3.5
1,2,4,0,0,1,13670799,1,1,2023,8,15,3,0.0,1.0
1,2,4,0,0,1,13670799,1,1,2023,8,15,3,0.0,1.0
1,4,2,0,0,0,9785706,1,1,2022,6,7,3,0.5,1.5
1,1,2,0,0,0,14644584,1,1,2023,7,2,1,0.0,1.0
1,2,2,0,0,1,9961814,1,1,2022,7,7,5,0.0,1.0
1,1,3,3,0,2,10545604,1,1,2022,7,21,5,0.0,1.0
1,2,8,0,0,3,9907812,1,1,2022,6,19,1,0.0,1.0
1,1,5,0,0,2,10694755,1,1,2022,9,11,1,0.0,1.0
1,1,2,0,0,0,18018323,1,1,2023,10,9,2,0.0,1.0
1,3,2,0,0,1,17761024,1,1,2023,10,2,2,0.0,1.0
1,6,1,0,0,1,17491801,1,1,2023,9,21,5,0.5,1.5
1,1,2,0,0,0,17761507,1,1,2023,10,22,1,0.0,1.0
1,3,1,0,0,1,19520513,1,1,2024,1,23,3,0.0,1.0
1,11,1,0,0,0,8107097,1,2,2021,12,9,5,1.0,3.0
1,1,1,0,0,0,14787263,1,1,2023,5,5,6,0.0,1.0
1,3,2,0,0,1,17109768,1,1,2023,11,3,6,0.0,1.0
1,2,2,0,0,0,17109034,1,1,2023,8,22,3,0.0,1.0
1,2,2,0,0,1,13520728,1,1,2023,2,12,1,0.0,1.0
1,4,1,0,0,0,9131290,1,1,2022,4,8,6,0.5,1.5
